time,gFx,gFy,gFz
2026-07-15 17:4:04.0470,-0.11,-0.978,0.011,0.984
2026-07-15 17:4:04.0470,-0.11,-0.978,0.011,0.984
2026-07-15 17:4:04.0620,-0.081,-0.933,-0.028,0.937
2026-07-15 17:4:04.0650,-0.07,-0.928,-0.026,0.931
2026-07-15 17:4:04.0740,-0.086,-0.979,-0.029,0.983
2026-07-15 17:4:04.0840,-0.112,-0.985,-0.041,0.992
2026-07-15 17:4:04.0940,-0.132,-0.983,-0.036,0.992
2026-07-15 17:4:04.1040,-0.136,-0.993,-0.022,1.003
2026-07-15 17:4:04.1140,-0.131,-1.003,-0.021,1.012
2026-07-15 17:4:04.1240,-0.119,-1.019,-0.025,1.026
2026-07-15 17:4:04.1380,-0.116,-1.013,-0.023,1.02
2026-07-15 17:4:04.1610,-0.136,-0.98,-0.022,0.99
2026-07-15 17:4:04.1620,-0.136,-0.98,-0.022,0.99
2026-07-15 17:4:04.1640,-0.126,-0.98,-0.024,0.988
2026-07-15 17:4:04.1740,-0.122,-0.984,-0.029,0.992
2026-07-15 17:4:04.1840,-0.117,-0.982,-0.03,0.989
2026-07-15 17:4:04.1940,-0.116,-0.989,-0.034,0.996
2026-07-15 17:4:04.2040,-0.116,-0.999,-0.036,1.006
2026-07-15 17:4:04.2140,-0.125,-0.999,-0.036,1.007
2026-07-15 17:4:04.2250,-0.123,-0.994,-0.032,1.002
2026-07-15 17:4:04.2400,-0.117,-0.998,-0.031,1.005
2026-07-15 17:4:04.2650,-0.132,-0.998,-0.041,1.008
2026-07-15 17:4:04.2650,-0.132,-0.998,-0.041,1.008
2026-07-15 17:4:04.2650,-0.132,-0.998,-0.041,1.008
2026-07-15 17:4:04.2740,-0.128,-0.996,-0.039,1.005
2026-07-15 17:4:04.2840,-0.114,-0.983,-0.037,0.99
2026-07-15 17:4:04.2940,-0.116,-0.981,-0.035,0.988
2026-07-15 17:4:04.3040,-0.126,-0.991,-0.04,1.0
2026-07-15 17:4:04.3150,-0.124,-0.99,-0.042,0.999
2026-07-15 17:4:04.3250,-0.125,-0.987,-0.041,0.996
2026-07-15 17:4:04.3400,-0.124,-0.99,-0.042,0.999
2026-07-15 17:4:04.3640,-0.116,-0.989,-0.042,0.997
2026-07-15 17:4:04.3640,-0.117,-0.984,-0.04,0.992
2026-07-15 17:4:04.3650,-0.117,-0.984,-0.04,0.992
2026-07-15 17:4:04.3740,-0.117,-0.98,-0.042,0.988
2026-07-15 17:4:04.3840,-0.113,-0.975,-0.045,0.983
2026-07-15 17:4:04.3940,-0.113,-0.963,-0.047,0.971
2026-07-15 17:4:04.4050,-0.115,-0.947,-0.051,0.955
2026-07-15 17:4:04.4150,-0.112,-0.933,-0.05,0.941
2026-07-15 17:4:04.4250,-0.114,-0.925,-0.051,0.933
2026-07-15 17:4:04.4380,-0.114,-0.912,-0.044,0.92
2026-07-15 17:4:04.4650,-0.124,-0.933,-0.015,0.941
2026-07-15 17:4:04.4650,-0.124,-0.933,-0.015,0.941
2026-07-15 17:4:04.4650,-0.124,-0.933,-0.015,0.941
2026-07-15 17:4:04.4740,-0.117,-0.956,-0.019,0.963
2026-07-15 17:4:04.4840,-0.119,-0.979,-0.026,0.987
2026-07-15 17:4:04.4950,-0.117,-0.99,-0.033,0.997
2026-07-15 17:4:04.5050,-0.105,-0.988,-0.042,0.994
2026-07-15 17:4:04.5140,-0.108,-0.964,-0.039,0.971
2026-07-15 17:4:04.5250,-0.11,-0.939,-0.034,0.946
2026-07-15 17:4:04.5400,-0.105,-0.941,-0.025,0.947
2026-07-15 17:4:04.5640,-0.078,-1.072,-0.084,1.078
2026-07-15 17:4:04.5650,-0.078,-1.072,-0.084,1.078
2026-07-15 17:4:04.5660,-0.078,-1.072,-0.084,1.078
2026-07-15 17:4:04.5750,-0.151,-1.141,-0.004,1.151
2026-07-15 17:4:04.5850,-0.202,-1.217,0.11,1.239
2026-07-15 17:4:04.5950,-0.162,-1.214,0.21,1.243
2026-07-15 17:4:04.6050,-0.103,-1.144,0.234,1.172
2026-07-15 17:4:04.6150,-0.177,-1.035,0.166,1.063
2026-07-15 17:4:04.6250,-0.251,-0.956,0.082,0.992
2026-07-15 17:4:04.6400,-0.249,-0.924,0.053,0.958
2026-07-15 17:4:04.6640,-0.141,-0.934,0.062,0.947
2026-07-15 17:4:04.6640,-0.141,-0.934,0.062,0.947
2026-07-15 17:4:04.6650,-0.118,-0.952,0.065,0.961
2026-07-15 17:4:04.6750,-0.118,-0.97,0.065,0.979
2026-07-15 17:4:04.6850,-0.122,-0.979,0.069,0.989
2026-07-15 17:4:04.6950,-0.115,-0.983,0.076,0.993
2026-07-15 17:4:04.7050,-0.115,-0.989,0.079,0.999
2026-07-15 17:4:04.7150,-0.119,-0.998,0.086,1.009
2026-07-15 17:4:04.7250,-0.121,-1.01,0.098,1.022
2026-07-15 17:4:04.7410,-0.122,-1.022,0.107,1.035
2026-07-15 17:4:04.7660,-0.107,-1.022,0.121,1.035
2026-07-15 17:4:04.7660,-0.107,-1.022,0.121,1.035
2026-07-15 17:4:04.7660,-0.107,-1.022,0.121,1.035
2026-07-15 17:4:04.7750,-0.101,-1.014,0.125,1.027
2026-07-15 17:4:04.7850,-0.099,-1.001,0.137,1.015
2026-07-15 17:4:04.7950,-0.096,-0.984,0.149,1.0
2026-07-15 17:4:04.8050,-0.088,-0.969,0.141,0.983
2026-07-15 17:4:04.8160,-0.083,-0.961,0.119,0.972
2026-07-15 17:4:04.8250,-0.081,-0.957,0.098,0.965
2026-07-15 17:4:04.8410,-0.088,-0.962,0.078,0.969
2026-07-15 17:4:04.8650,-0.121,-0.986,0.074,0.996
2026-07-15 17:4:04.8660,-0.121,-0.986,0.074,0.996
2026-07-15 17:4:04.8660,-0.121,-0.986,0.074,0.996
2026-07-15 17:4:04.8750,-0.125,-0.994,0.075,1.005
2026-07-15 17:4:04.8850,-0.115,-0.998,0.068,1.007
2026-07-15 17:4:04.8950,-0.11,-1.007,0.051,1.014
2026-07-15 17:4:04.9060,-0.117,-1.014,0.047,1.022
