time,gFx,gFy,gFz
2026-07-15 16:58:46.0050,-0.014,-1.003,0.144,1.013
2026-07-15 16:58:46.0050,-0.014,-1.003,0.144,1.013
2026-07-15 16:58:46.0130,-0.003,-0.988,0.174,1.003
2026-07-15 16:58:46.0310,-0.002,-0.951,0.163,0.965
2026-07-15 16:58:46.0320,-0.002,-0.951,0.163,0.965
2026-07-15 16:58:46.0410,0.003,-0.961,0.149,0.972
2026-07-15 16:58:46.0510,0.004,-0.967,0.136,0.977
2026-07-15 16:58:46.0620,-0.006,-0.983,0.12,0.99
2026-07-15 16:58:46.0710,-0.004,-0.996,0.111,1.002
2026-07-15 16:58:46.0810,-0.001,-1.003,0.103,1.008
2026-07-15 16:58:46.0920,-0.009,-1.006,0.107,1.012
2026-07-15 16:58:46.1010,-0.008,-1.009,0.116,1.016
2026-07-15 16:58:46.1160,-0.007,-1.004,0.124,1.012
2026-07-15 16:58:46.1380,-0.022,-0.978,0.12,0.986
2026-07-15 16:58:46.1380,-0.022,-0.978,0.12,0.986
2026-07-15 16:58:46.1420,-0.029,-0.976,0.113,0.983
2026-07-15 16:58:46.1510,-0.026,-0.979,0.112,0.986
2026-07-15 16:58:46.1620,-0.019,-0.98,0.107,0.986
2026-07-15 16:58:46.1720,-0.017,-0.98,0.098,0.985
2026-07-15 16:58:46.1820,-0.01,-0.976,0.1,0.981
2026-07-15 16:58:46.1920,-0.009,-0.98,0.103,0.985
2026-07-15 16:58:46.2020,-0.017,-0.992,0.098,0.997
2026-07-15 16:58:46.2170,-0.021,-0.99,0.087,0.994
2026-07-15 16:58:46.2430,-0.032,-0.988,0.09,0.993
2026-07-15 16:58:46.2430,-0.032,-0.988,0.09,0.993
2026-07-15 16:58:46.2430,-0.032,-0.988,0.09,0.993
2026-07-15 16:58:46.2520,-0.035,-1.005,0.091,1.01
2026-07-15 16:58:46.2620,-0.035,-1.014,0.093,1.019
2026-07-15 16:58:46.2720,-0.039,-1.013,0.092,1.018
2026-07-15 16:58:46.2820,-0.047,-1.01,0.079,1.014
2026-07-15 16:58:46.2920,-0.051,-1.009,0.066,1.012
2026-07-15 16:58:46.3020,-0.055,-1.0,0.055,1.003
2026-07-15 16:58:46.3170,-0.069,-0.989,0.042,0.992
2026-07-15 16:58:46.3420,-0.075,-0.934,-0.02,0.937
2026-07-15 16:58:46.3420,-0.075,-0.934,-0.02,0.937
2026-07-15 16:58:46.3430,-0.075,-0.934,-0.02,0.937
2026-07-15 16:58:46.3520,-0.055,-0.914,-0.023,0.916
2026-07-15 16:58:46.3620,-0.025,-0.921,0.002,0.921
2026-07-15 16:58:46.3720,-0.002,-0.952,0.016,0.952
2026-07-15 16:58:46.3820,0.02,-1.005,0.039,1.006
2026-07-15 16:58:46.3920,0.041,-1.054,0.069,1.057
2026-07-15 16:58:46.4020,0.041,-1.087,0.087,1.091
2026-07-15 16:58:46.4180,0.038,-1.107,0.094,1.112
2026-07-15 16:58:46.4420,-0.051,-1.092,0.096,1.097
2026-07-15 16:58:46.4430,-0.051,-1.092,0.096,1.097
2026-07-15 16:58:46.4430,-0.051,-1.092,0.096,1.097
2026-07-15 16:58:46.4520,-0.144,-1.142,0.073,1.153
2026-07-15 16:58:46.4620,-0.135,-1.153,0.077,1.163
2026-07-15 16:58:46.4720,-0.079,-1.119,0.091,1.125
2026-07-15 16:58:46.4820,-0.05,-1.09,0.107,1.096
2026-07-15 16:58:46.4930,-0.057,-1.041,0.123,1.05
2026-07-15 16:58:46.5030,-0.085,-0.973,0.13,0.985
2026-07-15 16:58:46.5180,-0.077,-0.93,0.104,0.939
2026-07-15 16:58:46.5420,-0.014,-0.925,0.057,0.927
2026-07-15 16:58:46.5420,-0.014,-0.925,0.057,0.927
2026-07-15 16:58:46.5420,-0.014,-0.925,0.057,0.927
2026-07-15 16:58:46.5520,-0.002,-0.932,0.053,0.934
2026-07-15 16:58:46.5620,0.003,-0.939,0.052,0.94
2026-07-15 16:58:46.5720,0.009,-0.944,0.064,0.946
2026-07-15 16:58:46.5830,0.006,-0.95,0.077,0.953
