time,gFx,gFy,gFz
2026-07-22 10:28:43.5030,0.022,-0.978,0.171,0.993
2026-07-22 10:28:43.5050,0.022,-0.978,0.171,0.993
2026-07-22 10:28:43.5240,-0.024,-0.957,0.162,0.971
2026-07-22 10:28:43.5240,-0.024,-0.957,0.162,0.971
2026-07-22 10:28:43.5290,-0.03,-0.974,0.168,0.989
2026-07-22 10:28:43.5390,-0.01,-1.004,0.147,1.015
2026-07-22 10:28:43.5500,-0.011,-0.997,0.126,1.005
2026-07-22 10:28:43.5600,-0.019,-1.004,0.122,1.012
2026-07-22 10:28:43.5700,-0.026,-1.006,0.125,1.014
2026-07-22 10:28:43.5800,-0.029,-0.996,0.143,1.007
2026-07-22 10:28:43.5900,-0.023,-0.997,0.15,1.008
2026-07-22 10:28:43.6010,-0.017,-0.993,0.145,1.004
2026-07-22 10:28:43.6280,-0.013,-0.977,0.132,0.986
2026-07-22 10:28:43.6290,-0.013,-0.977,0.132,0.986
2026-07-22 10:28:43.6300,-0.006,-0.976,0.129,0.985
2026-07-22 10:28:43.6400,-0.005,-0.98,0.127,0.988
2026-07-22 10:28:43.6500,-0.001,-0.984,0.123,0.992
2026-07-22 10:28:43.6600,0.008,-0.988,0.116,0.995
2026-07-22 10:28:43.6700,0.005,-0.99,0.118,0.997
2026-07-22 10:28:43.6810,0.002,-0.987,0.12,0.994
2026-07-22 10:28:43.6900,0.005,-0.988,0.119,0.995
2026-07-22 10:28:43.7050,0.008,-0.988,0.116,0.995
2026-07-22 10:28:43.7300,-0.0,-0.991,0.116,0.998
2026-07-22 10:28:43.7310,-0.0,-0.991,0.116,0.998
2026-07-22 10:28:43.7310,-0.0,-0.991,0.116,0.998
2026-07-22 10:28:43.7400,-0.0,-0.986,0.112,0.992
2026-07-22 10:28:43.7500,-0.001,-0.983,0.125,0.991
2026-07-22 10:28:43.7600,-0.005,-0.979,0.109,0.985
2026-07-22 10:28:43.7700,-0.009,-0.977,0.106,0.983
2026-07-22 10:28:43.7800,-0.009,-0.977,0.102,0.982
2026-07-22 10:28:43.7900,-0.024,-0.979,0.106,0.985
2026-07-22 10:28:43.8050,-0.024,-0.99,0.124,0.998
2026-07-22 10:28:43.8310,0.024,-1.002,0.109,1.008
2026-07-22 10:28:43.8310,0.024,-1.002,0.109,1.008
2026-07-22 10:28:43.8310,0.024,-1.002,0.109,1.008
2026-07-22 10:28:43.8400,0.035,-0.995,0.097,1.0
2026-07-22 10:28:43.8500,0.032,-0.984,0.071,0.987
2026-07-22 10:28:43.8600,0.022,-0.973,0.064,0.975
2026-07-22 10:28:43.8700,0.012,-0.957,0.063,0.959
2026-07-22 10:28:43.8810,0.001,-0.937,0.05,0.938
2026-07-22 10:28:43.8910,-0.009,-0.931,0.042,0.932
2026-07-22 10:28:43.9060,-0.007,-0.936,0.043,0.937
2026-07-22 10:28:43.9320,-0.034,-0.977,0.021,0.978
2026-07-22 10:28:43.9320,-0.034,-0.977,0.021,0.978
2026-07-22 10:28:43.9320,-0.034,-0.977,0.021,0.978
2026-07-22 10:28:43.9400,-0.057,-0.988,-0.019,0.99
2026-07-22 10:28:43.9500,0.011,-0.956,-0.071,0.959
2026-07-22 10:28:43.9610,0.032,-0.944,-0.067,0.947
2026-07-22 10:28:43.9700,0.038,-0.938,0.019,0.939
2026-07-22 10:28:43.9810,0.022,-0.946,0.199,0.967
2026-07-22 10:28:43.9950,-0.003,-0.992,0.358,1.055
2026-07-22 10:28:44.0040,-0.041,-1.04,0.449,1.134
2026-07-22 10:28:44.0300,-0.189,-1.099,0.477,1.213
2026-07-22 10:28:44.0300,-0.189,-1.099,0.477,1.213
2026-07-22 10:28:44.0310,-0.189,-1.099,0.477,1.213
2026-07-22 10:28:44.0400,-0.198,-1.062,0.443,1.168
2026-07-22 10:28:44.0500,-0.186,-1.019,0.395,1.109
2026-07-22 10:28:44.0610,-0.145,-0.989,0.321,1.05
2026-07-22 10:28:44.0710,-0.107,-0.973,0.263,1.014
2026-07-22 10:28:44.0810,-0.074,-0.972,0.211,0.997
2026-07-22 10:28:44.0910,-0.052,-0.98,0.172,0.996
2026-07-22 10:28:44.1060,-0.042,-0.992,0.156,1.005
2026-07-22 10:28:44.1330,-0.047,-1.004,0.22,1.029
2026-07-22 10:28:44.1330,-0.047,-1.004,0.22,1.029
2026-07-22 10:28:44.1330,-0.047,-1.004,0.22,1.029
2026-07-22 10:28:44.1410,-0.051,-0.997,0.236,1.026
2026-07-22 10:28:44.1510,-0.059,-0.988,0.242,1.019
2026-07-22 10:28:44.1610,-0.063,-0.972,0.238,1.003
2026-07-22 10:28:44.1710,-0.062,-0.956,0.225,0.984
2026-07-22 10:28:44.1810,-0.065,-0.945,0.213,0.971
2026-07-22 10:28:44.1930,-0.078,-0.938,0.21,0.964
2026-07-22 10:28:44.2050,-0.091,-0.938,0.209,0.965
2026-07-22 10:28:44.2290,-0.108,-0.944,0.201,0.971
2026-07-22 10:28:44.2290,-0.108,-0.944,0.201,0.971
2026-07-22 10:28:44.2310,-0.118,-0.954,0.195,0.981
2026-07-22 10:28:44.2480,-0.123,-0.956,0.189,0.982
2026-07-22 10:28:44.2510,-0.126,-0.955,0.183,0.981
2026-07-22 10:28:44.2610,-0.134,-0.961,0.184,0.988
2026-07-22 10:28:44.2710,-0.137,-0.96,0.19,0.988
2026-07-22 10:28:44.2810,-0.144,-0.959,0.199,0.99
2026-07-22 10:28:44.2930,-0.151,-0.953,0.216,0.989
2026-07-22 10:28:44.3060,-0.16,-0.954,0.23,0.994
2026-07-22 10:28:44.3310,-0.177,-0.941,0.258,0.992
2026-07-22 10:28:44.3310,-0.177,-0.941,0.258,0.992
2026-07-22 10:28:44.3320,-0.177,-0.941,0.258,0.992
2026-07-22 10:28:44.3410,-0.176,-0.949,0.255,0.998
2026-07-22 10:28:44.3510,-0.173,-0.962,0.24,1.006
2026-07-22 10:28:44.3610,-0.17,-0.964,0.227,1.005
2026-07-22 10:28:44.3710,-0.159,-0.954,0.219,0.992
2026-07-22 10:28:44.3810,-0.146,-0.953,0.215,0.988
2026-07-22 10:28:44.3920,-0.136,-0.948,0.219,0.982
2026-07-22 10:28:44.4050,-0.125,-0.946,0.225,0.98
2026-07-22 10:28:44.4320,-0.097,-1.008,0.26,1.046
2026-07-22 10:28:44.4320,-0.097,-1.008,0.26,1.046
2026-07-22 10:28:44.4320,-0.097,-1.008,0.26,1.046
2026-07-22 10:28:44.4410,-0.106,-1.023,0.259,1.061
2026-07-22 10:28:44.4510,-0.122,-1.024,0.252,1.062
2026-07-22 10:28:44.4610,-0.131,-1.028,0.251,1.066
2026-07-22 10:28:44.4710,-0.134,-1.017,0.252,1.056
2026-07-22 10:28:44.4820,-0.128,-0.99,0.251,1.029
2026-07-22 10:28:44.4930,-0.113,-0.964,0.252,1.003
2026-07-22 10:28:44.5050,-0.094,-0.929,0.247,0.966
2026-07-22 10:28:44.5300,-0.089,-0.89,0.225,0.922
2026-07-22 10:28:44.5310,-0.089,-0.89,0.225,0.922
2026-07-22 10:28:44.5320,-0.07,-0.874,0.221,0.904
2026-07-22 10:28:44.5480,-0.052,-0.869,0.23,0.9
2026-07-22 10:28:44.5510,-0.02,-0.873,0.252,0.909
2026-07-22 10:28:44.5610,0.004,-0.89,0.275,0.932
2026-07-22 10:28:44.5710,-0.012,-0.909,0.28,0.951
2026-07-22 10:28:44.5820,-0.033,-0.922,0.269,0.961
2026-07-22 10:28:44.5930,-0.036,-0.956,0.267,0.993
2026-07-22 10:28:44.6050,-0.026,-0.997,0.294,1.04
2026-07-22 10:28:44.6280,0.013,-1.027,0.326,1.078
2026-07-22 10:28:44.6290,0.013,-1.027,0.326,1.078
2026-07-22 10:28:44.6310,0.052,-1.014,0.354,1.075
2026-07-22 10:28:44.6490,0.07,-1.01,0.395,1.087
2026-07-22 10:28:44.6510,0.099,-1.004,0.466,1.111
2026-07-22 10:28:44.6620,0.127,-0.962,0.485,1.085
2026-07-22 10:28:44.6710,0.169,-0.947,0.546,1.106
2026-07-22 10:28:44.6820,0.203,-0.921,0.581,1.108
2026-07-22 10:28:44.6930,0.172,-0.869,0.526,1.03
2026-07-22 10:28:44.7070,0.155,-0.849,0.486,0.99
2026-07-22 10:28:44.7280,0.109,-0.871,0.438,0.981
2026-07-22 10:28:44.7290,0.109,-0.871,0.438,0.981
2026-07-22 10:28:44.7310,0.072,-0.885,0.394,0.971
2026-07-22 10:28:44.7490,0.042,-0.884,0.35,0.952
2026-07-22 10:28:44.7510,0.023,-0.903,0.344,0.967
2026-07-22 10:28:44.7620,-0.014,-0.919,0.331,0.977
2026-07-22 10:28:44.7720,-0.04,-0.926,0.313,0.978
2026-07-22 10:28:44.7820,-0.069,-0.909,0.302,0.96
2026-07-22 10:28:44.7930,-0.097,-0.876,0.297,0.93
2026-07-22 10:28:44.8070,-0.123,-0.912,0.345,0.983
2026-07-22 10:28:44.8300,-0.128,-1.009,0.274,1.053
2026-07-22 10:28:44.8300,-0.128,-1.009,0.274,1.053
2026-07-22 10:28:44.8320,-0.124,-1.013,0.27,1.056
2026-07-22 10:28:44.8490,-0.112,-0.999,0.282,1.044
2026-07-22 10:28:44.8520,-0.087,-0.976,0.277,1.018
2026-07-22 10:28:44.8620,-0.042,-0.955,0.312,1.006
2026-07-22 10:28:44.8720,-0.022,-0.931,0.348,0.994
2026-07-22 10:28:44.8820,-0.025,-0.908,0.348,0.973
2026-07-22 10:28:44.8930,-0.035,-0.896,0.343,0.96
2026-07-22 10:28:44.9070,-0.041,-0.885,0.334,0.947
2026-07-22 10:28:44.9290,-0.057,-0.847,0.272,0.891
2026-07-22 10:28:44.9290,-0.057,-0.847,0.272,0.891
2026-07-22 10:28:44.9320,-0.082,-0.779,0.184,0.805
2026-07-22 10:28:44.9480,-0.092,-0.684,0.09,0.696
2026-07-22 10:28:44.9520,-0.016,-0.666,0.064,0.669
2026-07-22 10:28:44.9620,0.031,-0.654,0.082,0.66
2026-07-22 10:28:44.9720,0.029,-0.67,0.132,0.683
2026-07-22 10:28:44.9820,-0.004,-0.684,0.205,0.714
2026-07-22 10:28:44.9940,-0.078,-0.69,0.253,0.739
2026-07-22 10:28:45.0070,-0.095,-0.814,0.378,0.902
2026-07-22 10:28:45.0300,-0.255,-1.091,0.663,1.302
2026-07-22 10:28:45.0300,-0.255,-1.091,0.663,1.302
2026-07-22 10:28:45.0320,-0.345,-1.236,0.774,1.499
2026-07-22 10:28:45.0480,-0.442,-1.361,0.805,1.642
2026-07-22 10:28:45.0520,-0.449,-1.353,0.756,1.614
2026-07-22 10:28:45.0620,-0.327,-1.208,0.706,1.437
2026-07-22 10:28:45.0720,-0.211,-1.094,0.608,1.269
2026-07-22 10:28:45.0820,-0.154,-1.0,0.495,1.126
2026-07-22 10:28:45.0930,-0.134,-0.925,0.378,1.008
2026-07-22 10:28:45.1070,-0.117,-0.872,0.283,0.924
2026-07-22 10:28:45.1290,-0.114,-0.805,0.174,0.831
2026-07-22 10:28:45.1290,-0.114,-0.805,0.174,0.831
2026-07-22 10:28:45.1320,-0.134,-0.795,0.154,0.821
2026-07-22 10:28:45.1480,-0.163,-0.8,0.167,0.833
2026-07-22 10:28:45.1520,-0.195,-0.806,0.203,0.854
2026-07-22 10:28:45.1620,-0.211,-0.814,0.279,0.886
2026-07-22 10:28:45.1720,-0.21,-0.824,0.361,0.924
2026-07-22 10:28:45.1830,-0.205,-0.843,0.424,0.966
2026-07-22 10:28:45.1930,-0.19,-0.867,0.465,1.002
2026-07-22 10:28:45.2070,-0.169,-0.885,0.481,1.021
2026-07-22 10:28:45.2290,-0.129,-0.903,0.446,1.015
2026-07-22 10:28:45.2300,-0.129,-0.903,0.446,1.015
2026-07-22 10:28:45.2320,-0.115,-0.913,0.425,1.014
2026-07-22 10:28:45.2480,-0.109,-0.922,0.406,1.013
2026-07-22 10:28:45.2520,-0.11,-0.932,0.385,1.014
2026-07-22 10:28:45.2620,-0.128,-0.947,0.369,1.024
2026-07-22 10:28:45.2730,-0.15,-0.958,0.361,1.035
2026-07-22 10:28:45.2820,-0.175,-0.969,0.361,1.049
2026-07-22 10:28:45.2930,-0.205,-0.975,0.375,1.065
2026-07-22 10:28:45.3070,-0.227,-0.97,0.411,1.078
2026-07-22 10:28:45.3310,-0.24,-0.939,0.469,1.077
2026-07-22 10:28:45.3310,-0.24,-0.939,0.469,1.077
2026-07-22 10:28:45.3320,-0.243,-0.921,0.474,1.064
2026-07-22 10:28:45.3490,-0.241,-0.899,0.463,1.04
2026-07-22 10:28:45.3520,-0.233,-0.877,0.442,1.009
2026-07-22 10:28:45.3630,-0.231,-0.86,0.421,0.985
2026-07-22 10:28:45.3720,-0.231,-0.851,0.405,0.97
2026-07-22 10:28:45.3830,-0.225,-0.846,0.393,0.96
2026-07-22 10:28:45.3930,-0.21,-0.853,0.377,0.956
2026-07-22 10:28:45.4300,-0.174,-0.903,0.335,0.979
2026-07-22 10:28:45.4300,-0.174,-0.903,0.335,0.979
2026-07-22 10:28:45.4300,-0.174,-0.903,0.335,0.979
2026-07-22 10:28:45.4320,-0.165,-0.927,0.338,1.0
2026-07-22 10:28:45.4520,-0.17,-0.945,0.349,1.022
2026-07-22 10:28:45.4520,-0.17,-0.96,0.357,1.038
2026-07-22 10:28:45.4630,-0.184,-0.97,0.368,1.054
2026-07-22 10:28:45.4720,-0.196,-0.973,0.37,1.059
2026-07-22 10:28:45.4830,-0.21,-0.967,0.372,1.057
2026-07-22 10:28:45.4930,-0.221,-0.951,0.37,1.044
2026-07-22 10:28:45.5070,-0.224,-0.93,0.369,1.025
2026-07-22 10:28:45.5280,-0.199,-0.872,0.349,0.96
2026-07-22 10:28:45.5280,-0.199,-0.872,0.349,0.96
2026-07-22 10:28:45.5330,-0.19,-0.845,0.336,0.929
2026-07-22 10:28:45.5490,-0.184,-0.825,0.329,0.907
2026-07-22 10:28:45.5520,-0.185,-0.802,0.326,0.885
2026-07-22 10:28:45.5630,-0.19,-0.787,0.335,0.876
2026-07-22 10:28:45.5730,-0.199,-0.779,0.355,0.879
2026-07-22 10:28:45.5830,-0.201,-0.78,0.377,0.889
2026-07-22 10:28:45.5930,-0.198,-0.785,0.393,0.9
2026-07-22 10:28:45.6080,-0.186,-0.793,0.399,0.907
2026-07-22 10:28:45.6310,-0.151,-0.824,0.399,0.928
2026-07-22 10:28:45.6310,-0.151,-0.824,0.399,0.928
2026-07-22 10:28:45.6320,-0.144,-0.844,0.395,0.943
2026-07-22 10:28:45.6490,-0.145,-0.867,0.393,0.963
2026-07-22 10:28:45.6530,-0.155,-0.891,0.397,0.988
2026-07-22 10:28:45.6630,-0.171,-0.913,0.41,1.015
2026-07-22 10:28:45.6730,-0.192,-0.935,0.428,1.046
2026-07-22 10:28:45.6830,-0.211,-0.95,0.445,1.07
2026-07-22 10:28:45.6930,-0.224,-0.958,0.452,1.083
2026-07-22 10:28:45.7080,-0.232,-0.958,0.444,1.081
2026-07-22 10:28:45.7310,-0.226,-0.932,0.37,1.028
2026-07-22 10:28:45.7310,-0.226,-0.932,0.37,1.028
2026-07-22 10:28:45.7330,-0.225,-0.906,0.333,0.991
2026-07-22 10:28:45.7480,-0.238,-0.883,0.302,0.963
2026-07-22 10:28:45.7530,-0.255,-0.868,0.281,0.947
2026-07-22 10:28:45.7630,-0.268,-0.867,0.277,0.949
2026-07-22 10:28:45.7730,-0.276,-0.872,0.288,0.959
2026-07-22 10:28:45.7830,-0.279,-0.878,0.311,0.972
2026-07-22 10:28:45.7930,-0.272,-0.884,0.333,0.983
2026-07-22 10:28:45.8280,-0.238,-0.893,0.38,0.999
2026-07-22 10:28:45.8280,-0.238,-0.893,0.38,0.999
2026-07-22 10:28:45.8290,-0.238,-0.893,0.38,0.999
2026-07-22 10:28:45.8330,-0.23,-0.899,0.391,1.007
2026-07-22 10:28:45.8480,-0.226,-0.903,0.395,1.011
2026-07-22 10:28:45.8530,-0.227,-0.904,0.405,1.016
2026-07-22 10:28:45.8630,-0.227,-0.905,0.407,1.018
2026-07-22 10:28:45.8730,-0.229,-0.906,0.401,1.017
2026-07-22 10:28:45.8830,-0.236,-0.909,0.391,1.017
2026-07-22 10:28:45.8940,-0.241,-0.911,0.372,1.013
2026-07-22 10:28:45.9310,-0.241,-0.921,0.32,1.004
2026-07-22 10:28:45.9310,-0.241,-0.921,0.32,1.004
2026-07-22 10:28:45.9310,-0.241,-0.921,0.32,1.004
2026-07-22 10:28:45.9330,-0.228,-0.922,0.32,1.002
