time,gFx,gFy,gFz
2026-07-13 16:48:56.1090,-0.135,-1.085,0.051,1.095
2026-07-13 16:48:56.1130,-0.119,-1.077,0.082,1.087
2026-07-13 16:48:56.1290,-0.127,-0.968,0.025,0.977
2026-07-13 16:48:56.1330,-0.126,-0.943,-0.026,0.952
2026-07-13 16:48:56.1430,-0.128,-0.949,-0.042,0.959
2026-07-13 16:48:56.1560,-0.131,-0.948,-0.029,0.957
2026-07-13 16:48:56.1630,-0.137,-0.975,-0.011,0.985
2026-07-13 16:48:56.1860,-0.134,-1.012,-0.011,1.021
2026-07-13 16:48:56.1860,-0.134,-1.012,-0.011,1.021
2026-07-13 16:48:56.1930,-0.147,-1.005,-0.016,1.016
2026-07-13 16:48:56.2030,-0.147,-0.998,-0.015,1.009
2026-07-13 16:48:56.2130,-0.143,-1.003,-0.013,1.013
2026-07-13 16:48:56.2230,-0.15,-0.992,-0.008,1.003
2026-07-13 16:48:56.2330,-0.146,-0.975,-0.001,0.986
2026-07-13 16:48:56.2430,-0.143,-0.969,0.006,0.98
2026-07-13 16:48:56.2580,-0.142,-0.976,0.004,0.986
2026-07-13 16:48:56.2630,-0.145,-0.98,-0.002,0.991
2026-07-13 16:48:56.2880,-0.151,-0.984,-0.018,0.996
2026-07-13 16:48:56.2880,-0.151,-0.984,-0.018,0.996
2026-07-13 16:48:56.2930,-0.154,-0.987,-0.023,0.999
2026-07-13 16:48:56.3100,-0.15,-0.991,-0.027,1.003
2026-07-13 16:48:56.3130,-0.146,-0.992,-0.03,1.003
2026-07-13 16:48:56.3230,-0.151,-0.991,-0.033,1.003
2026-07-13 16:48:56.3330,-0.152,-0.98,-0.032,0.992
2026-07-13 16:48:56.3440,-0.15,-0.967,-0.023,0.979
2026-07-13 16:48:56.3590,-0.152,-0.968,-0.016,0.98
2026-07-13 16:48:56.3630,-0.152,-0.975,-0.015,0.987
2026-07-13 16:48:56.3900,-0.152,-0.968,-0.02,0.98
2026-07-13 16:48:56.3900,-0.152,-0.968,-0.02,0.98
2026-07-13 16:48:56.3930,-0.151,-0.962,-0.02,0.974
2026-07-13 16:48:56.4100,-0.145,-0.962,-0.021,0.973
2026-07-13 16:48:56.4130,-0.144,-0.964,-0.019,0.975
2026-07-13 16:48:56.4240,-0.145,-0.963,-0.021,0.974
2026-07-13 16:48:56.4330,-0.14,-0.959,-0.023,0.969
2026-07-13 16:48:56.4440,-0.126,-0.95,-0.032,0.959
2026-07-13 16:48:56.4590,-0.121,-0.938,-0.056,0.947
2026-07-13 16:48:56.4630,-0.121,-0.926,-0.078,0.937
2026-07-13 16:48:56.4920,-0.13,-0.923,-0.085,0.936
2026-07-13 16:48:56.4920,-0.13,-0.923,-0.085,0.936
2026-07-13 16:48:56.4930,-0.142,-0.964,-0.06,0.976
2026-07-13 16:48:56.5100,-0.197,-1.074,0.035,1.092
2026-07-13 16:48:56.5140,-0.231,-1.194,0.122,1.222
2026-07-13 16:48:56.5240,-0.226,-1.206,0.14,1.235
2026-07-13 16:48:56.5340,-0.204,-1.15,0.134,1.176
2026-07-13 16:48:56.5440,-0.194,-1.063,0.146,1.09
2026-07-13 16:48:56.5600,-0.201,-0.972,0.154,1.004
2026-07-13 16:48:56.5640,-0.208,-0.923,0.116,0.953
2026-07-13 16:48:56.5910,-0.158,-0.906,0.026,0.92
2026-07-13 16:48:56.5910,-0.158,-0.906,0.026,0.92
2026-07-13 16:48:56.5930,-0.153,-0.913,0.03,0.926
2026-07-13 16:48:56.6100,-0.149,-0.926,0.045,0.939
2026-07-13 16:48:56.6140,-0.134,-0.946,0.051,0.957
2026-07-13 16:48:56.6240,-0.121,-0.976,0.047,0.985
2026-07-13 16:48:56.6340,-0.118,-1.008,0.041,1.016
2026-07-13 16:48:56.6440,-0.124,-1.031,0.046,1.039
2026-07-13 16:48:56.6590,-0.134,-1.039,0.054,1.049
2026-07-13 16:48:56.6640,-0.142,-1.035,0.068,1.047
2026-07-13 16:48:56.6900,-0.141,-0.993,0.08,1.006
2026-07-13 16:48:56.6900,-0.141,-0.993,0.08,1.006
2026-07-13 16:48:56.6940,-0.143,-0.98,0.081,0.994
2026-07-13 16:48:56.7100,-0.146,-0.968,0.072,0.982
2026-07-13 16:48:56.7140,-0.15,-0.968,0.054,0.981
2026-07-13 16:48:56.7240,-0.151,-0.961,0.045,0.974
2026-07-13 16:48:56.7340,-0.145,-0.947,0.064,0.96
2026-07-13 16:48:56.7440,-0.152,-0.93,0.114,0.949
2026-07-13 16:48:56.7590,-0.177,-0.913,0.156,0.943
2026-07-13 16:48:56.7640,-0.22,-0.904,0.164,0.945
2026-07-13 16:48:56.7900,-0.214,-0.95,0.05,0.975
2026-07-13 16:48:56.7900,-0.214,-0.95,0.05,0.975
2026-07-13 16:48:56.7940,-0.159,-0.989,-0.017,1.002
2026-07-13 16:48:56.8090,-0.135,-1.032,-0.038,1.041
2026-07-13 16:48:56.8140,-0.131,-1.064,-0.013,1.072
2026-07-13 16:48:56.8240,-0.136,-1.078,0.018,1.087
2026-07-13 16:48:56.8340,-0.153,-1.076,0.028,1.087
2026-07-13 16:48:56.8440,-0.173,-1.062,0.019,1.076
2026-07-13 16:48:56.8590,-0.193,-1.04,-0.001,1.058
2026-07-13 16:48:56.8640,-0.196,-1.017,-0.02,1.036
2026-07-13 16:48:56.8910,-0.159,-0.984,-0.034,0.997
2026-07-13 16:48:56.8910,-0.159,-0.984,-0.034,0.997
2026-07-13 16:48:56.8940,-0.134,-0.969,-0.044,0.979
2026-07-13 16:48:56.9100,-0.113,-0.958,-0.055,0.966
2026-07-13 16:48:56.9140,-0.086,-0.957,-0.051,0.962
2026-07-13 16:48:56.9240,-0.062,-0.96,-0.033,0.963
2026-07-13 16:48:56.9350,-0.047,-0.963,-0.021,0.964
2026-07-13 16:48:56.9450,-0.033,-0.971,-0.014,0.972
2026-07-13 16:48:56.9600,-0.023,-1.002,-0.001,1.002
2026-07-13 16:48:56.9640,-0.07,-1.038,0.007,1.04
2026-07-13 16:48:56.9930,-0.283,-1.087,0.106,1.128
2026-07-13 16:48:56.9930,-0.283,-1.087,0.106,1.128
2026-07-13 16:48:56.9940,-0.314,-1.098,0.195,1.159
2026-07-13 16:48:57.0090,-0.313,-1.082,0.231,1.15
2026-07-13 16:48:57.0140,-0.314,-1.057,0.202,1.121
2026-07-13 16:48:57.0250,-0.28,-1.028,0.14,1.075
2026-07-13 16:48:57.0350,-0.229,-1.003,0.092,1.033
2026-07-13 16:48:57.0450,-0.179,-0.985,0.074,1.004
2026-07-13 16:48:57.0590,-0.131,-0.973,0.077,0.985
2026-07-13 16:48:57.0650,-0.099,-0.969,0.09,0.978
2026-07-13 16:48:57.0900,-0.077,-0.991,0.124,1.002
2026-07-13 16:48:57.0900,-0.077,-0.991,0.124,1.002
2026-07-13 16:48:57.0940,-0.063,-1.005,0.114,1.013
2026-07-13 16:48:57.1090,-0.038,-1.018,0.093,1.023
2026-07-13 16:48:57.1150,-0.007,-1.027,0.061,1.029
2026-07-13 16:48:57.1250,0.01,-1.026,0.036,1.027
2026-07-13 16:48:57.1350,0.019,-1.017,0.027,1.018
2026-07-13 16:48:57.1450,0.028,-1.008,0.023,1.009
2026-07-13 16:48:57.1600,0.032,-1.003,0.029,1.004
2026-07-13 16:48:57.1650,0.018,-0.991,0.035,0.992
2026-07-13 16:48:57.1910,-0.031,-0.974,0.057,0.976
2026-07-13 16:48:57.1910,-0.031,-0.974,0.057,0.976
2026-07-13 16:48:57.1950,-0.067,-0.972,0.083,0.978
2026-07-13 16:48:57.2090,-0.097,-0.965,0.091,0.974
2026-07-13 16:48:57.2150,-0.094,-0.958,0.076,0.966
2026-07-13 16:48:57.2250,-0.075,-0.964,0.06,0.969
2026-07-13 16:48:57.2350,-0.056,-0.975,0.063,0.979
2026-07-13 16:48:57.2450,-0.041,-0.992,0.068,0.995
2026-07-13 16:48:57.2600,-0.018,-1.0,0.077,1.003
