time,gFx,gFy,gFz
2026-07-13 19:44:37.9040,-0.078,-1.052,-0.053,1.056
2026-07-13 19:44:37.9040,-0.078,-1.052,-0.053,1.056
2026-07-13 19:44:37.9060,-0.106,-0.963,-0.024,0.969
2026-07-13 19:44:37.9200,-0.084,-0.888,-0.045,0.893
2026-07-13 19:44:37.9280,-0.047,-0.856,-0.063,0.86
2026-07-13 19:44:37.9410,-0.019,-0.867,-0.07,0.87
2026-07-13 19:44:37.9460,-0.007,-0.914,-0.1,0.919
2026-07-13 19:44:37.9560,0.006,-0.963,-0.117,0.97
2026-07-13 19:44:37.9670,0.009,-0.991,-0.135,1.0
2026-07-13 19:44:37.9760,0.023,-0.987,-0.14,0.997
2026-07-13 19:44:37.9870,0.029,-0.963,-0.122,0.971
2026-07-13 19:44:37.9970,0.019,-0.955,-0.11,0.962
2026-07-13 19:44:38.0070,0.022,-0.966,-0.108,0.972
2026-07-13 19:44:38.0170,0.008,-0.97,-0.11,0.976
2026-07-13 19:44:38.0280,-0.008,-0.969,-0.112,0.975
2026-07-13 19:44:38.0480,-0.025,-1.0,-0.13,1.009
2026-07-13 19:44:38.0480,-0.025,-1.0,-0.13,1.009
2026-07-13 19:44:38.0570,-0.026,-1.017,-0.137,1.027
2026-07-13 19:44:38.0670,-0.034,-1.027,-0.147,1.038
2026-07-13 19:44:38.0770,-0.038,-1.027,-0.139,1.037
2026-07-13 19:44:38.0870,-0.041,-1.022,-0.135,1.032
2026-07-13 19:44:38.0970,-0.036,-1.016,-0.139,1.026
2026-07-13 19:44:38.1070,-0.03,-1.005,-0.14,1.015
2026-07-13 19:44:38.1170,-0.028,-0.984,-0.135,0.994
2026-07-13 19:44:38.1290,-0.03,-0.965,-0.136,0.975
2026-07-13 19:44:38.1470,-0.032,-0.944,-0.145,0.956
2026-07-13 19:44:38.1470,-0.032,-0.944,-0.145,0.956
2026-07-13 19:44:38.1570,-0.034,-0.952,-0.148,0.964
2026-07-13 19:44:38.1670,-0.033,-0.977,-0.144,0.988
2026-07-13 19:44:38.1770,-0.031,-1.003,-0.133,1.012
2026-07-13 19:44:38.1870,-0.032,-1.021,-0.127,1.029
2026-07-13 19:44:38.1970,-0.03,-1.024,-0.128,1.032
2026-07-13 19:44:38.2070,-0.028,-1.012,-0.13,1.021
2026-07-13 19:44:38.2170,-0.029,-0.999,-0.138,1.009
2026-07-13 19:44:38.2290,-0.034,-0.98,-0.151,0.992
2026-07-13 19:44:38.2480,-0.057,-0.928,-0.172,0.946
2026-07-13 19:44:38.2480,-0.057,-0.928,-0.172,0.946
2026-07-13 19:44:38.2570,-0.065,-0.912,-0.161,0.928
2026-07-13 19:44:38.2670,-0.07,-0.914,-0.149,0.929
2026-07-13 19:44:38.2770,-0.063,-0.925,-0.149,0.939
2026-07-13 19:44:38.2870,-0.042,-0.955,-0.128,0.964
2026-07-13 19:44:38.2970,-0.022,-0.984,-0.115,0.991
2026-07-13 19:44:38.3070,-0.015,-1.018,-0.123,1.026
2026-07-13 19:44:38.3170,-0.014,-1.05,-0.101,1.055
2026-07-13 19:44:38.3290,-0.0,-1.091,-0.065,1.093
2026-07-13 19:44:38.3470,-0.019,-1.21,0.032,1.211
2026-07-13 19:44:38.3480,-0.019,-1.21,0.032,1.211
2026-07-13 19:44:38.3570,-0.019,-1.206,0.045,1.207
2026-07-13 19:44:38.3680,-0.029,-1.167,0.027,1.168
2026-07-13 19:44:38.3770,-0.022,-1.116,0.001,1.116
2026-07-13 19:44:38.3880,0.0,-1.063,-0.041,1.064
2026-07-13 19:44:38.3970,0.024,-1.034,-0.084,1.038
2026-07-13 19:44:38.4070,0.01,-1.044,-0.079,1.047
2026-07-13 19:44:38.4190,-0.002,-1.076,-0.026,1.076
2026-07-13 19:44:38.4290,0.016,-1.051,0.036,1.052
2026-07-13 19:44:38.4470,-0.172,-0.936,0.02,0.952
2026-07-13 19:44:38.4480,-0.172,-0.936,0.02,0.952
2026-07-13 19:44:38.4580,-0.16,-0.899,-0.02,0.913
2026-07-13 19:44:38.4670,-0.104,-0.902,-0.029,0.908
2026-07-13 19:44:38.4770,-0.059,-0.928,-0.018,0.93
2026-07-13 19:44:38.4870,-0.039,-0.953,-0.01,0.954
2026-07-13 19:44:38.4980,-0.032,-0.963,-0.003,0.964
2026-07-13 19:44:38.5070,-0.03,-0.963,-0.0,0.963
2026-07-13 19:44:38.5170,-0.02,-0.959,0.002,0.959
2026-07-13 19:44:38.5290,-0.015,-0.957,0.001,0.957
2026-07-13 19:44:38.5470,-0.02,-0.964,0.023,0.964
2026-07-13 19:44:38.5480,-0.02,-0.964,0.023,0.964
2026-07-13 19:44:38.5570,-0.014,-0.964,0.032,0.965
2026-07-13 19:44:38.5690,-0.018,-0.964,0.033,0.965
2026-07-13 19:44:38.5770,-0.027,-0.964,0.037,0.965
2026-07-13 19:44:38.5880,-0.028,-0.968,0.044,0.969
2026-07-13 19:44:38.5980,-0.031,-0.966,0.049,0.968
2026-07-13 19:44:38.6080,-0.032,-0.961,0.05,0.963
2026-07-13 19:44:38.6180,-0.032,-0.955,0.045,0.957
2026-07-13 19:44:38.6290,-0.02,-0.947,0.039,0.948
2026-07-13 19:44:38.6480,-0.019,-0.953,0.037,0.954
2026-07-13 19:44:38.6490,-0.019,-0.953,0.037,0.954
2026-07-13 19:44:38.6580,-0.017,-0.966,0.039,0.967
2026-07-13 19:44:38.6680,-0.009,-0.981,0.047,0.982
2026-07-13 19:44:38.6780,-0.008,-0.99,0.056,0.992
2026-07-13 19:44:38.6880,-0.003,-0.987,0.058,0.989
2026-07-13 19:44:38.6980,0.009,-0.984,0.056,0.986
2026-07-13 19:44:38.7080,0.025,-0.993,0.048,0.994
2026-07-13 19:44:38.7180,0.029,-1.004,0.042,1.005
2026-07-13 19:44:38.7290,0.022,-1.01,0.038,1.011
2026-07-13 19:44:38.7470,0.004,-1.018,0.024,1.018
2026-07-13 19:44:38.7490,0.004,-1.018,0.024,1.018
2026-07-13 19:44:38.7580,0.009,-1.022,0.02,1.022
2026-07-13 19:44:38.7670,0.009,-1.028,0.013,1.028
2026-07-13 19:44:38.7780,0.004,-1.034,0.016,1.034
2026-07-13 19:44:38.7880,0.014,-1.042,0.032,1.043
2026-07-13 19:44:38.7980,0.02,-1.045,0.042,1.046
2026-07-13 19:44:38.8080,0.012,-1.044,0.043,1.045
2026-07-13 19:44:38.8180,0.005,-1.042,0.045,1.043
2026-07-13 19:44:38.8290,0.014,-1.039,0.04,1.04
2026-07-13 19:44:38.8450,0.025,-1.029,0.024,1.03
2026-07-13 19:44:38.8480,0.025,-1.016,0.009,1.016
2026-07-13 19:44:38.8580,0.021,-1.004,-0.0,1.004
2026-07-13 19:44:38.8680,0.012,-0.993,-0.004,0.993
2026-07-13 19:44:38.8780,0.002,-0.986,-0.004,0.986
2026-07-13 19:44:38.8880,-0.006,-0.977,-0.003,0.977
2026-07-13 19:44:38.8980,-0.015,-0.969,0.0,0.969
2026-07-13 19:44:38.9080,-0.025,-0.968,0.012,0.968
2026-07-13 19:44:38.9180,-0.021,-0.973,0.032,0.974
2026-07-13 19:44:38.9300,-0.012,-0.972,0.054,0.974
2026-07-13 19:44:38.9480,-0.004,-0.973,0.071,0.976
2026-07-13 19:44:38.9490,0.001,-0.977,0.075,0.98
2026-07-13 19:44:38.9590,0.003,-0.988,0.073,0.991
2026-07-13 19:44:38.9690,0.007,-0.997,0.073,1.0
2026-07-13 19:44:38.9790,0.01,-1.004,0.079,1.007
2026-07-13 19:44:38.9880,0.013,-1.007,0.082,1.01
2026-07-13 19:44:38.9980,0.008,-1.004,0.09,1.008
2026-07-13 19:44:39.0080,0.004,-1.003,0.103,1.008
2026-07-13 19:44:39.0180,0.001,-1.002,0.12,1.009
2026-07-13 19:44:39.0300,0.002,-0.992,0.139,1.002
2026-07-13 19:44:39.0460,-0.002,-0.979,0.152,0.991
2026-07-13 19:44:39.0480,-0.017,-0.961,0.15,0.973
2026-07-13 19:44:39.0580,-0.028,-0.948,0.137,0.958
2026-07-13 19:44:39.0690,-0.053,-0.969,0.108,0.976
2026-07-13 19:44:39.0820,-0.069,-0.985,0.095,0.992
2026-07-13 19:44:39.0880,-0.075,-0.998,0.086,1.005
2026-07-13 19:44:39.0980,-0.067,-1.001,0.075,1.006
2026-07-13 19:44:39.1080,-0.043,-0.997,0.071,1.0
2026-07-13 19:44:39.1180,-0.027,-0.987,0.068,0.99
2026-07-13 19:44:39.1300,-0.022,-0.987,0.074,0.99
2026-07-13 19:44:39.1460,-0.024,-0.995,0.085,0.999
2026-07-13 19:44:39.1480,-0.037,-0.997,0.099,1.003
2026-07-13 19:44:39.1580,-0.05,-1.0,0.116,1.008
2026-07-13 19:44:39.1680,-0.05,-0.995,0.134,1.005
2026-07-13 19:44:39.1780,-0.048,-0.991,0.143,1.002
2026-07-13 19:44:39.1880,-0.044,-0.997,0.15,1.009
2026-07-13 19:44:39.1980,-0.042,-1.008,0.152,1.02
2026-07-13 19:44:39.2080,-0.04,-1.011,0.148,1.023
2026-07-13 19:44:39.2190,-0.038,-1.01,0.131,1.019
2026-07-13 19:44:39.2300,-0.03,-0.994,0.115,1.001
2026-07-13 19:44:39.2460,-0.03,-0.975,0.101,0.981
2026-07-13 19:44:39.2490,-0.039,-0.957,0.094,0.962
2026-07-13 19:44:39.2590,-0.04,-0.945,0.098,0.951
2026-07-13 19:44:39.2690,-0.039,-0.94,0.111,0.947
2026-07-13 19:44:39.2790,-0.038,-0.94,0.128,0.949
2026-07-13 19:44:39.2890,-0.041,-0.945,0.14,0.956
2026-07-13 19:44:39.2990,-0.043,-0.95,0.144,0.962
2026-07-13 19:44:39.3090,-0.044,-0.957,0.14,0.968
2026-07-13 19:44:39.3190,-0.052,-0.966,0.127,0.976
2026-07-13 19:44:39.3300,-0.054,-0.972,0.114,0.98
2026-07-13 19:44:39.3460,-0.049,-0.971,0.112,0.979
2026-07-13 19:44:39.3490,-0.043,-0.957,0.119,0.965
2026-07-13 19:44:39.3590,-0.043,-0.931,0.124,0.94
2026-07-13 19:44:39.3690,-0.043,-0.896,0.123,0.905
2026-07-13 19:44:39.3790,-0.036,-0.866,0.123,0.875
2026-07-13 19:44:39.3890,-0.033,-0.845,0.122,0.854
