time,gFx,gFy,gFz
2026-07-13 16:46:03.6610,-0.132,-0.945,0.159,0.967
2026-07-13 16:46:03.6610,-0.132,-0.945,0.159,0.967
2026-07-13 16:46:03.6640,-0.174,-0.957,0.154,0.985
2026-07-13 16:46:03.6740,-0.11,-0.946,0.151,0.964
2026-07-13 16:46:03.6860,-0.058,-0.903,0.172,0.921
2026-07-13 16:46:03.7040,0.059,-0.972,0.108,0.98
2026-07-13 16:46:03.7040,0.059,-0.972,0.108,0.98
2026-07-13 16:46:03.7140,0.029,-1.006,0.104,1.012
2026-07-13 16:46:03.7240,0.002,-1.004,0.115,1.011
2026-07-13 16:46:03.7340,-0.023,-0.995,0.114,1.002
2026-07-13 16:46:03.7440,-0.02,-0.99,0.115,0.997
2026-07-13 16:46:03.7540,-0.006,-0.973,0.119,0.98
2026-07-13 16:46:03.7640,-0.011,-0.962,0.108,0.968
2026-07-13 16:46:03.7740,-0.024,-0.963,0.108,0.969
2026-07-13 16:46:03.7880,-0.019,-0.962,0.112,0.969
2026-07-13 16:46:03.8110,-0.009,-0.969,0.101,0.974
2026-07-13 16:46:03.8110,-0.009,-0.969,0.101,0.974
2026-07-13 16:46:03.8140,-0.008,-0.979,0.098,0.984
2026-07-13 16:46:03.8240,-0.007,-0.981,0.102,0.986
2026-07-13 16:46:03.8340,-0.009,-0.978,0.095,0.983
2026-07-13 16:46:03.8450,-0.014,-0.978,0.092,0.982
2026-07-13 16:46:03.8550,-0.023,-0.99,0.089,0.994
2026-07-13 16:46:03.8650,-0.027,-1.0,0.079,1.003
2026-07-13 16:46:03.8780,-0.028,-1.008,0.075,1.011
2026-07-13 16:46:03.8900,-0.029,-1.017,0.081,1.021
2026-07-13 16:46:03.9140,-0.031,-1.024,0.098,1.029
2026-07-13 16:46:03.9150,-0.031,-1.024,0.098,1.029
2026-07-13 16:46:03.9160,-0.031,-1.024,0.098,1.029
2026-07-13 16:46:03.9240,-0.038,-1.029,0.097,1.034
2026-07-13 16:46:03.9340,-0.038,-1.026,0.092,1.031
2026-07-13 16:46:03.9450,-0.037,-1.013,0.09,1.018
2026-07-13 16:46:03.9550,-0.036,-0.984,0.086,0.988
2026-07-13 16:46:03.9650,-0.041,-0.962,0.072,0.966
2026-07-13 16:46:03.9750,-0.046,-0.956,0.051,0.958
2026-07-13 16:46:03.9900,-0.047,-0.955,0.036,0.957
2026-07-13 16:46:04.0140,-0.012,-0.947,0.002,0.947
2026-07-13 16:46:04.0140,-0.012,-0.947,0.002,0.947
2026-07-13 16:46:04.0150,0.017,-0.927,-0.009,0.927
2026-07-13 16:46:04.0240,0.039,-0.923,-0.016,0.924
2026-07-13 16:46:04.0350,0.041,-0.947,-0.029,0.948
2026-07-13 16:46:04.0450,0.069,-0.957,0.031,0.96
2026-07-13 16:46:04.0550,0.056,-1.023,0.12,1.032
2026-07-13 16:46:04.0650,0.008,-1.109,0.169,1.122
2026-07-13 16:46:04.0770,-0.053,-1.166,0.238,1.191
2026-07-13 16:46:04.0900,-0.1,-1.173,0.245,1.202
2026-07-13 16:46:04.1140,-0.086,-1.103,0.055,1.108
2026-07-13 16:46:04.1140,-0.086,-1.103,0.055,1.108
2026-07-13 16:46:04.1150,-0.08,-1.066,0.041,1.07
2026-07-13 16:46:04.1320,-0.073,-1.042,0.063,1.046
2026-07-13 16:46:04.1350,-0.064,-1.023,0.08,1.028
2026-07-13 16:46:04.1450,-0.066,-1.006,0.077,1.011
2026-07-13 16:46:04.1550,-0.082,-0.988,0.066,0.994
2026-07-13 16:46:04.1650,-0.094,-0.975,0.061,0.981
2026-07-13 16:46:04.1770,-0.104,-0.966,0.067,0.974
2026-07-13 16:46:04.1900,-0.114,-0.957,0.074,0.967
2026-07-13 16:46:04.2120,-0.127,-0.953,0.116,0.968
2026-07-13 16:46:04.2130,-0.127,-0.953,0.116,0.968
2026-07-13 16:46:04.2150,-0.126,-0.945,0.114,0.96
2026-07-13 16:46:04.2320,-0.121,-0.94,0.098,0.953
2026-07-13 16:46:04.2350,-0.111,-0.936,0.086,0.946
2026-07-13 16:46:04.2450,-0.082,-0.936,0.075,0.943
2026-07-13 16:46:04.2550,-0.051,-0.936,0.056,0.939
2026-07-13 16:46:04.2660,-0.028,-0.935,0.033,0.936
2026-07-13 16:46:04.2770,-0.018,-0.935,0.029,0.936
2026-07-13 16:46:04.2900,-0.022,-0.931,0.04,0.932
2026-07-13 16:46:04.3130,-0.006,-0.948,0.054,0.95
2026-07-13 16:46:04.3130,-0.006,-0.948,0.054,0.95
2026-07-13 16:46:04.3150,-0.021,-0.96,0.041,0.961
2026-07-13 16:46:04.3320,-0.047,-0.957,0.039,0.959
2026-07-13 16:46:04.3350,-0.067,-0.963,0.032,0.966
2026-07-13 16:46:04.3450,-0.102,-0.943,0.048,0.95
2026-07-13 16:46:04.3550,-0.129,-0.926,0.065,0.937
2026-07-13 16:46:04.3660,-0.122,-0.922,0.069,0.933
2026-07-13 16:46:04.3780,-0.112,-0.939,0.057,0.947
2026-07-13 16:46:04.3910,-0.098,-0.962,0.053,0.968
2026-07-13 16:46:04.4120,-0.069,-1.047,0.097,1.054
2026-07-13 16:46:04.4130,-0.069,-1.047,0.097,1.054
2026-07-13 16:46:04.4150,-0.093,-1.078,0.1,1.087
2026-07-13 16:46:04.4330,-0.086,-1.102,0.095,1.109
2026-07-13 16:46:04.4350,-0.055,-1.113,0.095,1.118
2026-07-13 16:46:04.4450,-0.027,-1.122,0.091,1.126
2026-07-13 16:46:04.4550,-0.035,-1.121,0.096,1.126
2026-07-13 16:46:04.4660,-0.057,-1.116,0.09,1.121
2026-07-13 16:46:04.4770,-0.067,-1.113,0.083,1.118
2026-07-13 16:46:04.4900,-0.065,-1.098,0.079,1.103
2026-07-13 16:46:04.5130,-0.077,-1.043,0.077,1.049
2026-07-13 16:46:04.5130,-0.077,-1.043,0.077,1.049
2026-07-13 16:46:04.5150,-0.045,-1.018,0.098,1.024
2026-07-13 16:46:04.5330,-0.027,-0.989,0.131,0.998
2026-07-13 16:46:04.5350,-0.027,-0.961,0.154,0.974
2026-07-13 16:46:04.5460,-0.006,-0.946,0.162,0.96
2026-07-13 16:46:04.5560,0.009,-0.937,0.166,0.952
2026-07-13 16:46:04.5660,0.007,-0.941,0.152,0.953
2026-07-13 16:46:04.5770,0.022,-0.955,0.135,0.965
2026-07-13 16:46:04.5910,0.035,-0.976,0.123,0.984
2026-07-13 16:46:04.6140,0.059,-1.025,0.154,1.038
2026-07-13 16:46:04.6140,0.059,-1.025,0.154,1.038
2026-07-13 16:46:04.6150,0.031,-1.037,0.189,1.055
2026-07-13 16:46:04.6330,0.005,-1.057,0.215,1.079
2026-07-13 16:46:04.6350,-0.016,-1.105,0.222,1.127
2026-07-13 16:46:04.6460,-0.051,-1.138,0.256,1.168
2026-07-13 16:46:04.6560,-0.073,-1.173,0.276,1.207
2026-07-13 16:46:04.6660,-0.076,-1.22,0.276,1.253
2026-07-13 16:46:04.6770,-0.067,-1.253,0.306,1.292
2026-07-13 16:46:04.6910,-0.028,-1.27,0.355,1.319
2026-07-13 16:46:04.7130,0.008,-1.246,0.419,1.315
2026-07-13 16:46:04.7130,0.008,-1.246,0.419,1.315
2026-07-13 16:46:04.7160,0.033,-1.213,0.405,1.279
2026-07-13 16:46:04.7320,0.04,-1.174,0.351,1.226
2026-07-13 16:46:04.7360,0.105,-1.136,0.277,1.174
2026-07-13 16:46:04.7460,0.152,-1.112,0.227,1.145
2026-07-13 16:46:04.7560,0.156,-1.059,0.219,1.093
2026-07-13 16:46:04.7660,0.129,-1.035,0.227,1.067
2026-07-13 16:46:04.7780,0.095,-1.017,0.251,1.052
2026-07-13 16:46:04.7910,0.069,-0.991,0.267,1.029
2026-07-13 16:46:04.8130,0.087,-0.949,0.258,0.987
2026-07-13 16:46:04.8130,0.087,-0.949,0.258,0.987
2026-07-13 16:46:04.8160,0.116,-0.93,0.234,0.966
2026-07-13 16:46:04.8320,0.112,-0.926,0.206,0.955
2026-07-13 16:46:04.8360,0.082,-0.902,0.198,0.927
2026-07-13 16:46:04.8460,0.065,-0.891,0.199,0.915
2026-07-13 16:46:04.8560,0.062,-0.877,0.189,0.899
2026-07-13 16:46:04.8660,0.065,-0.854,0.178,0.875
2026-07-13 16:46:04.8780,0.053,-0.816,0.179,0.837
2026-07-13 16:46:04.8910,0.045,-0.792,0.177,0.813
2026-07-13 16:46:04.9160,0.038,-0.749,0.169,0.769
2026-07-13 16:46:04.9160,0.038,-0.749,0.169,0.769
2026-07-13 16:46:04.9160,0.038,-0.749,0.169,0.769
2026-07-13 16:46:04.9260,0.035,-0.738,0.178,0.76
2026-07-13 16:46:04.9360,0.025,-0.732,0.185,0.755
2026-07-13 16:46:04.9460,0.008,-0.741,0.179,0.762
2026-07-13 16:46:04.9560,0.011,-0.76,0.157,0.776
2026-07-13 16:46:04.9660,0.038,-0.782,0.117,0.792
2026-07-13 16:46:04.9780,0.059,-0.801,0.075,0.807
2026-07-13 16:46:04.9910,0.061,-0.84,0.056,0.844
2026-07-13 16:46:05.0160,-0.013,-0.956,0.132,0.965
2026-07-13 16:46:05.0170,-0.013,-0.956,0.132,0.965
2026-07-13 16:46:05.0170,-0.013,-0.956,0.132,0.965
2026-07-13 16:46:05.0260,-0.021,-0.978,0.172,0.993
2026-07-13 16:46:05.0360,-0.006,-0.995,0.219,1.019
2026-07-13 16:46:05.0460,0.012,-0.999,0.256,1.031
2026-07-13 16:46:05.0560,0.018,-1.0,0.274,1.037
2026-07-13 16:46:05.0670,0.024,-1.001,0.276,1.039
2026-07-13 16:46:05.0780,0.041,-1.013,0.256,1.046
2026-07-13 16:46:05.0920,0.049,-1.027,0.236,1.055
2026-07-13 16:46:05.1140,0.048,-1.065,0.191,1.083
