time,gFx,gFy,gFz
2026-07-13 16:52:53.2320,-0.057,-1.009,-0.042,1.011
2026-07-13 16:52:53.2340,-0.11,-1.04,0.045,1.047
2026-07-13 16:52:53.2460,-0.055,-0.973,0.014,0.975
2026-07-13 16:52:53.2460,-0.055,-0.973,0.014,0.975
2026-07-13 16:52:53.2540,-0.042,-0.922,-0.034,0.924
2026-07-13 16:52:53.2660,-0.029,-0.909,-0.055,0.911
2026-07-13 16:52:53.2740,-0.032,-0.948,-0.063,0.951
2026-07-13 16:52:53.2840,-0.052,-1.002,-0.068,1.006
2026-07-13 16:52:53.2940,-0.033,-1.001,-0.093,1.006
2026-07-13 16:52:53.3040,-0.021,-0.994,-0.104,1.0
2026-07-13 16:52:53.3140,-0.022,-1.0,-0.103,1.006
2026-07-13 16:52:53.3480,-0.016,-0.987,-0.097,0.992
2026-07-13 16:52:53.3480,-0.016,-0.987,-0.097,0.992
2026-07-13 16:52:53.3480,-0.016,-0.987,-0.097,0.992
2026-07-13 16:52:53.3540,-0.022,-0.978,-0.097,0.983
2026-07-13 16:52:53.3660,-0.026,-0.971,-0.094,0.976
2026-07-13 16:52:53.3740,-0.017,-0.972,-0.089,0.976
2026-07-13 16:52:53.3840,-0.017,-0.982,-0.095,0.987
2026-07-13 16:52:53.3940,-0.03,-0.994,-0.106,1.0
2026-07-13 16:52:53.4040,-0.03,-0.998,-0.116,1.005
2026-07-13 16:52:53.4150,-0.028,-0.996,-0.118,1.003
2026-07-13 16:52:53.4510,-0.03,-0.991,-0.101,0.997
2026-07-13 16:52:53.4510,-0.03,-0.991,-0.101,0.997
2026-07-13 16:52:53.4510,-0.03,-0.991,-0.101,0.997
2026-07-13 16:52:53.4540,-0.034,-0.993,-0.102,0.999
2026-07-13 16:52:53.4660,-0.035,-0.994,-0.099,1.0
2026-07-13 16:52:53.4740,-0.046,-0.997,-0.103,1.003
2026-07-13 16:52:53.4850,-0.039,-1.001,-0.108,1.008
2026-07-13 16:52:53.4950,-0.031,-0.996,-0.105,1.002
2026-07-13 16:52:53.5050,-0.03,-1.007,-0.109,1.013
