time,gFx,gFy,gFz
2026-07-13 19:46:13.4530,0.169,-0.94,0.012,0.955
2026-07-13 19:46:13.4530,0.169,-0.94,0.012,0.955
2026-07-13 19:46:13.4560,0.119,-1.017,0.026,1.024
2026-07-13 19:46:13.4640,0.108,-1.038,0.035,1.044
2026-07-13 19:46:13.4790,0.137,-1.018,0.018,1.027
2026-07-13 19:46:13.4840,0.145,-0.975,-0.011,0.986
2026-07-13 19:46:13.4940,0.137,-0.944,-0.047,0.955
2026-07-13 19:46:13.5040,0.104,-0.954,-0.072,0.962
2026-07-13 19:46:13.5150,0.064,-0.963,-0.069,0.968
2026-07-13 19:46:13.5250,0.06,-0.983,-0.069,0.987
2026-07-13 19:46:13.5350,0.072,-0.971,-0.062,0.976
2026-07-13 19:46:13.5450,0.05,-0.957,-0.071,0.961
2026-07-13 19:46:13.5580,0.055,-0.943,-0.067,0.947
2026-07-13 19:46:13.5650,0.073,-0.941,-0.063,0.946
2026-07-13 19:46:13.5880,0.085,-0.961,-0.055,0.966
2026-07-13 19:46:13.5880,0.085,-0.961,-0.055,0.966
2026-07-13 19:46:13.5950,0.077,-0.959,-0.057,0.964
2026-07-13 19:46:13.6070,0.079,-0.96,-0.056,0.965
2026-07-13 19:46:13.6150,0.083,-0.983,-0.054,0.988
2026-07-13 19:46:13.6250,0.08,-1.007,-0.059,1.012
2026-07-13 19:46:13.6350,0.083,-1.012,-0.065,1.017
2026-07-13 19:46:13.6450,0.091,-1.004,-0.064,1.01
2026-07-13 19:46:13.6600,0.088,-1.003,-0.064,1.009
2026-07-13 19:46:13.6650,0.087,-1.012,-0.066,1.018
2026-07-13 19:46:13.6890,0.083,-1.005,-0.072,1.011
2026-07-13 19:46:13.6900,0.083,-1.005,-0.072,1.011
2026-07-13 19:46:13.6950,0.081,-0.982,-0.072,0.988
2026-07-13 19:46:13.7070,0.079,-0.975,-0.086,0.982
2026-07-13 19:46:13.7150,0.083,-0.984,-0.09,0.992
2026-07-13 19:46:13.7250,0.084,-0.987,-0.092,0.995
2026-07-13 19:46:13.7360,0.081,-0.981,-0.094,0.989
2026-07-13 19:46:13.7450,0.089,-0.97,-0.104,0.98
2026-07-13 19:46:13.7610,0.096,-0.964,-0.106,0.975
2026-07-13 19:46:13.7650,0.086,-0.957,-0.103,0.966
2026-07-13 19:46:13.7910,0.066,-0.947,-0.107,0.955
2026-07-13 19:46:13.7910,0.066,-0.947,-0.107,0.955
2026-07-13 19:46:13.7950,0.052,-0.938,-0.103,0.945
2026-07-13 19:46:13.8080,0.046,-0.942,-0.095,0.948
2026-07-13 19:46:13.8150,0.041,-0.97,-0.088,0.975
2026-07-13 19:46:13.8250,0.049,-1.006,-0.081,1.01
2026-07-13 19:46:13.8360,0.059,-1.032,-0.068,1.036
2026-07-13 19:46:13.8460,0.056,-1.053,-0.059,1.056
2026-07-13 19:46:13.8610,0.048,-1.046,-0.057,1.049
2026-07-13 19:46:13.8660,0.044,-1.036,-0.042,1.038
2026-07-13 19:46:13.8890,0.042,-1.034,-0.016,1.035
2026-07-13 19:46:13.8900,0.042,-1.034,-0.016,1.035
2026-07-13 19:46:13.8950,0.04,-1.025,0.004,1.026
