time,gFx,gFy,gFz
2026-07-31 18:57:35.8560,-0.165,-0.853,0.147,0.881
2026-07-31 18:57:35.8560,-0.165,-0.853,0.147,0.881
2026-07-31 18:57:35.8620,-0.094,-0.901,0.107,0.912
2026-07-31 18:57:35.8780,-0.069,-0.969,0.076,0.974
2026-07-31 18:57:35.8820,-0.093,-0.993,0.071,1.0
2026-07-31 18:57:35.8920,-0.117,-1.001,0.081,1.011
2026-07-31 18:57:35.9020,-0.132,-1.0,0.087,1.012
2026-07-31 18:57:35.9140,-0.136,-0.992,0.105,1.007
2026-07-31 18:57:35.9340,-0.134,-0.992,0.111,1.007
2026-07-31 18:57:35.9340,-0.134,-0.992,0.111,1.007
2026-07-31 18:57:35.9420,-0.133,-0.993,0.107,1.008
2026-07-31 18:57:35.9520,-0.13,-0.981,0.092,0.994
2026-07-31 18:57:35.9620,-0.129,-0.969,0.076,0.98
2026-07-31 18:57:35.9720,-0.124,-0.976,0.067,0.986
2026-07-31 18:57:35.9820,-0.114,-0.983,0.06,0.991
2026-07-31 18:57:35.9920,-0.111,-0.983,0.059,0.991
2026-07-31 18:57:36.0020,-0.11,-0.982,0.058,0.99
2026-07-31 18:57:36.0160,-0.112,-0.99,0.059,0.998
2026-07-31 18:57:36.0360,-0.106,-0.993,0.066,1.001
2026-07-31 18:57:36.0370,-0.106,-0.993,0.066,1.001
2026-07-31 18:57:36.0420,-0.106,-0.994,0.075,1.002
2026-07-31 18:57:36.0570,-0.101,-0.992,0.085,1.001
2026-07-31 18:57:36.0620,-0.093,-0.983,0.097,0.992
2026-07-31 18:57:36.0730,-0.106,-0.988,0.091,0.998
2026-07-31 18:57:36.0820,-0.112,-0.996,0.081,1.006
2026-07-31 18:57:36.0930,-0.105,-0.995,0.077,1.003
2026-07-31 18:57:36.1040,-0.093,-0.994,0.074,1.001
2026-07-31 18:57:36.1380,-0.087,-0.971,0.051,0.976
2026-07-31 18:57:36.1390,-0.087,-0.971,0.051,0.976
2026-07-31 18:57:36.1390,-0.087,-0.971,0.051,0.976
2026-07-31 18:57:36.1420,-0.082,-0.955,0.045,0.96
2026-07-31 18:57:36.1570,-0.07,-0.938,0.04,0.941
2026-07-31 18:57:36.1620,-0.075,-0.907,0.07,0.913
2026-07-31 18:57:36.1730,-0.086,-0.901,0.093,0.91
2026-07-31 18:57:36.1820,-0.098,-0.92,0.092,0.93
