time,gFx,gFy,gFz
2026-07-31 19:19:35.0930,-0.259,-0.935,0.106,0.976
2026-07-31 19:19:35.0930,-0.259,-0.935,0.106,0.976
2026-07-31 19:19:35.0990,-0.287,-0.916,0.045,0.961
2026-07-31 19:19:35.1120,-0.238,-0.883,0.011,0.915
2026-07-31 19:19:35.1190,-0.231,-0.904,0.014,0.933
2026-07-31 19:19:35.1290,-0.28,-0.948,0.004,0.988
2026-07-31 19:19:35.1390,-0.302,-0.974,-0.002,1.02
2026-07-31 19:19:35.1520,-0.29,-0.989,0.002,1.031
2026-07-31 19:19:35.1690,-0.302,-0.987,0.001,1.032
2026-07-31 19:19:35.1700,-0.302,-0.987,0.001,1.032
2026-07-31 19:19:35.1790,-0.302,-0.977,0.003,1.023
2026-07-31 19:19:35.1890,-0.298,-0.953,0.007,0.999
2026-07-31 19:19:35.1990,-0.286,-0.938,0.01,0.981
2026-07-31 19:19:35.2090,-0.277,-0.928,0.011,0.969
2026-07-31 19:19:35.2190,-0.271,-0.936,0.008,0.974
2026-07-31 19:19:35.2300,-0.262,-0.947,0.001,0.983
2026-07-31 19:19:35.2400,-0.265,-0.949,-0.002,0.985
2026-07-31 19:19:35.2710,-0.251,-0.969,0.0,1.001
2026-07-31 19:19:35.2710,-0.251,-0.969,0.0,1.001
2026-07-31 19:19:35.2720,-0.251,-0.969,0.0,1.001
2026-07-31 19:19:35.2800,-0.25,-0.966,-0.007,0.998
2026-07-31 19:19:35.2900,-0.245,-0.963,-0.019,0.994
2026-07-31 19:19:35.3000,-0.24,-0.958,-0.02,0.988
2026-07-31 19:19:35.3100,-0.246,-0.952,-0.013,0.983
2026-07-31 19:19:35.3200,-0.253,-0.951,-0.005,0.984
2026-07-31 19:19:35.3300,-0.254,-0.962,-0.003,0.995
2026-07-31 19:19:35.3400,-0.248,-0.971,0.0,1.002
2026-07-31 19:19:35.3770,-0.235,-0.979,0.008,1.007
2026-07-31 19:19:35.3770,-0.235,-0.979,0.008,1.007
2026-07-31 19:19:35.3770,-0.235,-0.979,0.008,1.007
2026-07-31 19:19:35.3800,-0.238,-0.97,0.007,0.999
2026-07-31 19:19:35.3930,-0.236,-0.962,0.005,0.991
2026-07-31 19:19:35.4000,-0.23,-0.955,-0.005,0.982
2026-07-31 19:19:35.4100,-0.225,-0.954,-0.01,0.98
2026-07-31 19:19:35.4200,-0.224,-0.953,-0.012,0.979
2026-07-31 19:19:35.4300,-0.224,-0.946,-0.012,0.972
2026-07-31 19:19:35.4400,-0.228,-0.945,-0.014,0.972
2026-07-31 19:19:35.4550,-0.226,-0.951,-0.016,0.978
2026-07-31 19:19:35.4770,-0.227,-0.964,-0.027,0.991
2026-07-31 19:19:35.4770,-0.227,-0.964,-0.027,0.991
2026-07-31 19:19:35.4790,-0.22,-0.973,-0.026,0.998
2026-07-31 19:19:35.4940,-0.227,-0.971,-0.017,0.997
2026-07-31 19:19:35.5000,-0.244,-0.96,-0.01,0.991
2026-07-31 19:19:35.5100,-0.264,-0.952,-0.003,0.988
2026-07-31 19:19:35.5200,-0.277,-0.953,-0.001,0.992
2026-07-31 19:19:35.5300,-0.284,-0.959,-0.016,1.0
2026-07-31 19:19:35.5410,-0.282,-0.976,-0.033,1.016
